Name des RZ (Recherche);Betreiber (Recherche);Eigentümer (Recherche);Sitz des Eigentümers (Recherche);Art des Eigentümers (Recherche);Art des RZ (Expertenmeinung);Status (Recherche);Wahrscheinlichkeit (%) (Expertenmeinung);Baustatus (Recherche);Region (Recherche);Metro region (Recherche);Stadt (Recherche);Postleitzahl (Recherche);Latitude;Longitude;Gesamtfläche Gebäude (m²) (Recherche);Fläche für IT (m²) (Recherche);Netzanschluss (kW) (Recherche);Stromkapazität für IT (kW) (Recherche);Geplante Inbetriebnahme (Recherche);Verifizierte Quelle 1;Verifizierte Quelle 2;Verifizierte Quelle 3;Verifizierte Quelle 4;Verifizierte Quelle 5;Verifizierte Quelle 6
FRA3;Noris Network AG;Maincubes;Germany;Developer;Co-Location;under_construction;;under_construction;Hessen;Frankfurt;Schwalbach (am Taunus);65824;50.16085248;8.53456988;;7000;30000;;2027-01-01;https://www.datacenter-insider.de/maincubes-nimmt-ersten-bauabschnitt-von-fra03-in-betrieb-a-95df5d6a298a4dd8aa2b1c444f2eef28/;https://www.noris.de/presse/ki-hub-entsteht-in-schwalbach-am-taunus-noris-network-baut-30-megawatt-rechenzentrum/;https://www.datacenter-insider.de/rechenzentrum-heizt-die-stadt-a-70a2d8b0b4a9744aeff8931f7bc1a935/;;;
FRA4;NTT DATA;NTT;Japan;Operator;Co-Location;under_construction;;under_construction;Hessen;Frankfurt;Hattersheim;65795;50.06714015;8.47331109;;14200;;34400;2028-01-01;https://www.fnp.de/lokales/main-taunus/hattersheim-ort87439/plan-ntt-startet-bau-in-hattersheim-trotz-laufender-klage-gegen-94120285.html;https://www.fnp.de/lokales/main-taunus/hattersheim-ort87439/ionos-stoppt-bau-in-hattersheim-wegen-klage-gegen-bebauungsplan-94148163.html;https://services.global.ntt/de-de/services-and-products/global-data-centers/global-locations/emea/frankfurt-4-data-center;;;
FRA6;NTT DATA;NTT;Japan;Operator;Co-Location;planned;;planning;Rheinland-Pfalz;Rhein-Main;Nierstein;55283;49.84710208;8.29185004;;;;480000;2029-01-01;https://ee-hub.de/branchenwissen/dpa-meldungen/rechenzentrum-projekt-in-nierstein-nimmt-naechsten-schritt-e6164796dcd7d584201b12f3b87eb468;https://www.gdc-im-dialog.de/frankfurt6/frankfurt-6-data-center/default.aspx;https://www.swr.de/swraktuell/rheinland-pfalz/mainz/neue-details-zum-geplanten-rechenzentrum-im-niersteiner-rhein-selz-park-100.html;;;
FRA7;;firstcolo GmbH;Germany;;Co-Location;under_construction;;groundbreaking;Hessen;Frankfurt;Rosbach;61191;50.29497449;8.70025497;;18000;;24000;2027-01-01;https://firstcolo.net/standorte/ai-ready-rechenzentrum-rosbach/;https://www.datacenter-insider.de/gruenes-licht-fuer-drittes-firstcolo-rechenzentrum-in-rhein-main-a-f1ded510b9cb09756b13fb3a3054c1f4/;;;;
FRA7;CyrusOne;KKR;United States;Investor;Co-Location;under_construction;;under_construction;Hessen;Frankfurt;Griesheim;65933;50.09238106;8.57943829;;25266;;81000;2026-01-01;https://www.cyrusone.com/data-centers/emea/frankfurt-germany-fra7;;;;;
Frank Cube;Unknown;Argaman Group;Germany;Developer;Co-Location;planned;30;planning;Hessen;Osthessen/Vogelsberg;Birstein;63633;50.36189233;9.30868315;;;;200000;2028-01-01;https://www.datacenter-insider.de/gruenes-licht-fuer-200-megawatt-rechenzentrum-frank-cube-a-1fe30ab9525696cdf9f0e5b4c4ae7dd8/;https://www.datacenter-insider.de/argaman-plant-200-megawatt-rechenzentrum-in-birstein-a-43fd5ddc7c8200bdcbb56eded5e2f45d/?cflt=rel;;;;
Frankfurt 2;NorthC;Antin Infrastructure Partners;France;Investor;Co-Location;under_construction;;under_construction;Hessen;Frankfurt;Neu-Isenburg;63263;50.04527068;8.68601484;;1830;;4500;2027-01-01;https://www.datacenter-insider.de/northc-kauft-grundstueck-in-neu-isenburg-fuer-frankfurt-2-a-7a29ac12eb92a51ff7c5a9eda85f8c9c/;;;;;
Frankfurt 4+5;Unknown;Colt Data Centers;United Kingdom;Developer;Hyperscale;under_construction;;under_construction;Hessen;Frankfurt;Wiesbaden;65760;50.13353492;8.5793686;73000;;;63000;2028-01-01;https://www.coltdatacentres.net/de-DE/our-locations/data-centre-locations-europe/frankfurt-4-and-5;https://www.coltdatacentres.net/de-DE/press-releases/data-centres/2025/04/german-expansion;;;;
Frankfurt Oder Data FFO AI;Frankfurt Data AI GmbH;SolWo Holding GmbH;Germany;Developer;Co-Location;planned;20;planning;Brandenburg;Frankfurt (oder);Markendorf (Frankfurt Oder);15236;52.30384548;14.47132493;60000;;330000;;;https://www.rbb24.de/wirtschaft/beitrag/2026/03/brandenburg-frankfurt-oder-markendorf-milliarden-investition-rechenzentrum.html;https://www.datacenter-insider.de/frankfurt-oder-plant-330-mw-rechenzentrum-a-df996e7e0129c9c589bbf1bdf8fef58c/;;;;
Freyenstein;Unknown;noya group;Germany;Developer;Co-Location;planned;10;planning;Brandenburg;Prignitz/Nordwestbrandenburg;Freyenstein;16909;53.27804253;12.35895577;;;700000;;;https://www.rbb24.de/wirtschaft/beitrag/2026/04/ostprignitz-ruppin-rechenzentrum-geplant-freyenstein-protest.html;https://www.datacenter-insider.de/150-hektar-rechenzentrum-bei-freyenstein-geplant-a-80e6983becd4d357bda219938d6695ac/;;;;
Gewerbepark Wesseling-Urfeld;Unknown;Unknown;Unknown;Developer;Co-Location;planned;10;planning;Nordrhein-Westfalen;Düsseldorf/Köln;Wesseling-Urfeld;50389;50.80262188;6.99390704;;;10000;;;https://www.datacenter-insider.de/rechenzentrums-standort-zwischen-koeln-und-bonn-in-planung-a-565f8b46e3a6c5f325df4839c92c72dc/?cflt=rdt;https://www.o-sp.de/wesseling/plan?pid=29457;;;;
Green Rocks / FRA1-Mainz;Unknown;Green Mountain KMW;Norway;Developer;Co-Location;under_construction;100;topping_out;Rheinland-Pfalz;Rhein-Main;Mainz;55120;50.02709368;8.24168947;;;54000;;2026-01-01;https://www.greenmountain-kmw.com/;;;;;
GreenRock Rothenschirmbach;Unknown;GreenRock Real Estate GmbH;Germany;Developer;Co-Location;planned;10;planning;Sachsen-Anhalt;Halle/Leipizig;Rothenschirmbach;06295;51.44583368;11.54030702;95000;;300000;;;https://greenrock.eu/wp-content/uploads/2026/02/2026-02-20_GreenRock_GR5_Presse.pdf;;;;;
Grevenbroich;Microsoft;Microsoft;United States;Operator;Hyperscale;planned;70;planning;Nordrhein-Westfalen;Rheinisches Revier/Köln;Grevenbroich;41515;51.09051608;6.61088613;230000;;;;2030-01-01;https://www.handelsblatt.com/technik/ki/microsoft-us-konzern-kuendigt-weiteres-rechenzentrum-in-nrw-an/100235272.html;https://www.grevenbroich.de/detail/news/4199-microsoft-plant-rechenzentrum-in-grevenbroich/;https://www1.wdr.de/nrw/niederrhein/rhein-kreis-neuss/grevenbroich-kriegt-microsoft-rechenzentrum-100.html;https://www.facebook.com/reel/879938155178335;https://www.ferner-alsdorf.de/rechenzentrumsboom-in-nrw-und-die-gesellschaft/;https://www.openpetition.de/petition/blog/stop-hyperscale-rechenzentrum-und-digitalpark-in-grevenbroich-im-rheinischen-revier/2?language=et_EE.utf8
Hamm/Lippetal;QTS;Blackstone;United States;Developer;Co-Location;planned;40;planning;Nordrhein-Westfalen;Ruhrgebiet;Lippetal;59510;51.69358618;7.97365743;;;;200000;2030-01-01;https://www.hamm.de/gesellschaft-soziales-gesundheit/news/eines-der-groessten-rechenzentren-deutschlands;https://www.datacenter-insider.de/blackstone-plant-milliarden-campus-in-lippetal-a-019e299b5c3ba479483e15cade25e814/;https://www1.wdr.de/nachrichten/westfalen-lippe/rat-lippetal-rechenzentrum-100.html;;;
Herne;YEXIO;Palladio Partners;Germany;Investor;Co-Location;under_construction;50;groundbreaking;Nordrhein-Westfalen;Ruhrgebiet;Herne;44629;51.5461046;7.22413247;;;;2000;2027-01-01;https://www.baulinks.de/webplugin/2026/0753.php4;https://www.datacenter-insider.de/spatenstich-in-herne-fuer-neues-rechenzentrum-a-11c4536c0324035013ce51ade764551d/;;;;
HLRS III;Universität Stuttgart;Universität Stuttgart;Germany;University;University;under_construction;;foundation_laid;Baden-Württemberg;Stuttgart;Stuttgart;70569;48.73959603;9.09712772;4700;;;;2027-01-01;https://www.uni-stuttgart.de/universitaet/aktuelles/meldungen/Grundstein-fuer-Neubau-HLRS-III-gelegt/;https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/start-fuer-das-hoechstleistungsrechenzentrum-an-der-universitaet-stuttgart-1;;;;
Hofheim-Marxheim FRA1;Prime Data Centers;Süwag;United States;Developer;Co-Location;under_construction;30;under_construction;Hessen;Rhein-Main;Hofheim-Marxheim;65719;50.05713778;8.43416006;11000;;;;2027-01-01;https://www.suewag.com/corp/medien-und-dialog/newsroom/rechenzentrum-hofheim-baurechtschaffung-abgeschlossen;https://www.datacenter-insider.de/baurecht-fuer-neues-rechenzentrum-in-hofheim-gesichert-a-850e9226dff0b6842f7a3a9dcb36bfc5/?cflt=rdt;https://www.hofheim.de/fileadmin/dokumente/Leben_in_Hofheim/Planen_Bauen_und_Verkehr/Bebauungsplaene/Marxheim/B-Plan_Nr._150_Begruendung__Rechenzentrum_Marxheim_.pdf&ved=2ahUKEwi_hY2Ez8WVAxXP2QIHHZ-VJvgQFnoECB4QAQ&usg=AOvVaw35j3YAupY7uzs1pUFTX22c;;;
Jupiter;Unknown;Prime Capital AG;Germany;Developer;Hyperscale;planned;20;planning;Brandenburg;Lausitz/Südbrandenburg;Finsterwalde;03238;51.60837143;13.72988278;;;300000;;;https://www.finsterwalde.de/loadDocument.phtml?FID=3652.2966.1&Ext=PDF;https://www.finsterwalde.de/Wirtschaft-Bauen/Stadtentwicklung/Energiekopplungsprojekt/;;;;
Karben-Rendel;Kauri Cab;Black Rock Real Estate;United States;Developer;Co-Location;planned;30;planning;Hessen;Frankfurt;Karben;61137;50.20231259;8.81728124;;;;33000;;https://www.iz.de/projekte/news/-blackrock-und-kauri-cab-sichern-sich-flaeche-und-strom-in-der-wetterau-2000043224;https://www.faz.net/aktuell/rhein-main/region-und-hessen/karben-spatenstich-fuer-rechenzentrum-im-september-geplant-200673848.html;https://www.region-frankfurt.de/Services/Presseportal/Pressemitteilungen/Neues-Rechenzentrum-im-Karbener-Stadtteil-Rendel.php?object=&ModID=7&FID=3255.1624.1&NavID=3255.86&La=1;;;
Katzenfeld;Unknown;Revikon;Germany;Developer;Co-Location;planned;20;planning;Hessen;Gießen;Gießen;35398;50.60282758;8.65774854;170000;;65000;;2026-01-01;https://www.giessener-anzeiger.de/stadt-giessen/rechenzentrum-rueckt-naeher-magistrat-aendert-flaechennutzungsplan-94334145.html;https://www.giessen.de/Leben/Wohnen-Planen-Bauen/Bauprojekte/-Im-Katzenfeld-/;https://www.datacenter-insider.de/rechenzentrum-in-giessen-geplant-a-9b22d656c30a6c500555eac47e7c1ca9/;https://www.giessener-allgemeine.de/giessen/rechenzentrum-in-giessen-verzoegert-sich-um-ein-jahr-baukosten-ueber-einer-milliarde-94335370.html;https://www.n-ag.de/deutschland/hessen/giessen/giessen-auf-digitalem-kurs-neues-rechenzentrum-bringt-innovation-und-wachstum/;
